"id","bin","SoftwareName","LatestVersion","DateTime","Link","LinkText","LoginRequired","LogoOnly"
"adobe","Adobe","Adobe","2500120432","3/11/2025 7:34","https://helpx.adobe.com/acrobat/kb/install-updates-reader-acrobat.html,https://www.adobe.com/devnet-docs/acrobatetk/tools/ReleaseNotesDC/index.html","Adobe Reader Update (Opens in Silo);Release Notes (Opens in Edge)","0","0"
"beats","Elastic","Elastic Beats","9.0.0","","https://www.elastic.co/downloads/beats","Elastic Beats (Open in Silo)","0","1"
"git","Developer","Git for Windows","2.49.0","3/18/2025 6:00","https://github.com/git-for-windows/git/releases","Git for Windows Download (Opens in Silo)","0","0"
"chrome","Browser","Google Chrome","135.0.7049.115","4/23/2025 6:36","https://chromeenterprise.google/download/?modal-id=download-chrome","Google Chrome Enterprise Download (Opens in Silo)","0","0"
"clearcube","Virtualization","ClearCube","","","","","0","1"
"commvault","Utilities","CommVault","","","","","1","1"
"credoid","Utilities","CredoID","4.20.0","","https://download.credoid.com/","CredoID Downloads (Opens in Silo)","0","0"
"devexpress","Developer","DevExpress","24.2","","https://www.devexpress.com/Support/Versions.xml#supported","DevExpress Versions (Opens in Silo)","1","1"
"iGelNetID","iGel","iGel App - PointSharp NetID Client","1.3.0.22","","https://app.igel.com/netid/","iGel App Portal (Opens in Silo)","1","0"
"iGelHorizon","iGel","iGel App - VMWare Horizon Client","24.0.6","","https://app.igel.com/horizon/","iGel App Portal (Opens in Silo)","1","0"
"iGelBaseSystem","iGel","iGel OS Base System","12.6.1","","https://app.igel.com/base_system/","iGel App Portal (Opens in Silo)","1","0"
"ise","Utilities","Cisco ISE","","","","","1","0"
"linqpad5","Developer","LINQPad5","8.8.9","4/25/2025 15:44","https://www.linqpad.net/Download.aspx","LINQPad downloads (Opens in Silo)","0","0"
"linqpad8","Developer","LINQPad8","5.52.01","4/25/2025 15:44","https://www.linqpad.net/Download.aspx","LINQPad downloads (Opens in Silo)","0","0"
"edge","Browser","Microsoft Edge","135.0.3179.98","4/25/2025 7:04","https://www.microsoft.com/en-us/edge/business/download?form=MA13FJ","Edge Enterprise Download (Opens in Edge)","0","0"
"elasticsearch","Elastic","Elasticsearch","9.0.0","","https://www.elastic.co/downloads/elasticsearch","Elasticsearch (Opens in Silo)","0","1"
"fusionpro","Printshop","FusionPro","14.0.3","","https://fusionpro.com/support/downloads/","FusionPro downloads (Opens in Silo)","0","0"
"firefox","Browser","Mozilla Firefox","137.0.2","4/20/2025 7:05","https://www.mozilla.org/en-US/firefox/all/#product-desktop-release","Mozilla Firefox Updates (Opens in Silo)","0","0"
"jqwidgets","Developer","jQWidgets","22.0.0","","https://www.jqwidgets.com/download/","jQWidgets Download (Opens in Silo)","0","1"
"kibana","Elastic","Kibana","9.0.0","","https://www.elastic.co/downloads/kibana","Kibana (Opens in Silo)","0","1"
"mathtype","Other","MathType","7.8.0","","https://docs.wiris.com/mathtype/en/mathtype-office-tools/mathtype-office-tools-release-notes.html","MathType Release Notes (Opens in Silo)","1","1"
"nodejs","Developer","Node.js","20.19.1","4/25/2025 15:48","https://nodejs.org/en/download","Node.js downloads (Opens in Silo)","0","1"
"npp","Utilities","Notepad++","8.7.9","4/3/2025 6:35","https://github.com/notepad-plus-plus/notepad-plus-plus/releases/","Notepad++ downloads (Opens in Silo)","0","0"
"nutanix","Virtualization","Nutanix","","","","","1","1"
"paloalto","Utilities","Palo Alto","","","","","1","1"
"prtg","Utilities","PRTG","25.1.104.1961","","https://www.paessler.com/prtg/history/stable","PRTG Releases (Opens in Silo)","1","0"
"powershell","Utilities","Powershell","7.5.1","4/25/2025 7:04","https://learn.microsoft.com/en-us/powershell/scripting/install/installing-powershell-on-windows?view=powershell-7.4&viewFallbackFrom=powershell-7.2#msi","Powershell 7 Updates (Opens in Edge)","0","0"
"putty","Utilities","PuTTY","0.83","4/7/2025 12:43","https://www.chiark.greenend.org.uk/~sgtatham/putty/latest.html","PuTTY (Opens in Silo)","0","0"
"secretserver","Utilities","Delinea Secret Server","11.7.61","","https://docs.delinea.com/online-help/secret-server/release-notes/ssvr-onprem-rn.htm","Secret Server Release Notes (Opens in Silo)","1","0"
"securecrt","Utilities","SecureCRT","9.6.2","","https://www.vandyke.com/cgi-bin/releases.php?product=securecrt","SecureCRT Downloads (Opens in Silo)","1","0"
"servicepro","Utilities","ServicePro","","","","","1","1"
"ssms","Utilities","SQL Server Management Studio","20.2.1","4/19/2025 13:59","https://learn.microsoft.com/en-us/ssms/download-sql-server-management-studio-ssms","SSMS Download (Opens in Silo)","0","0"
"stig","Utilities","Evaluate-STIG","1.2504.0","4/20/2025 17:10","https://intelshare.intelink.gov/sites/NAVSEA-RMF/Shared%20Documents/Tools/Evaluate-STIG","Evaluate-STIG Repository (Opens in Edge, Need CAC) ","0","0"
"teradici","Virtualization","Management Console","","","https://anyware.hp.com/find/product/management-console/current?subscriptionName=anyware-standard","teradici Management Console Download (Opens in Silo)","1","1"
"toadoracle","Developer","Toad for Oracle","","","","","1","0"
"toadsql","Developer","Toad for SQL","","","","","1","0"
"vscode","Developer","Visual Studio Code","1.99.3","4/17/2025 6:21","https://code.visualstudio.com/download#","VS Code Download (Opens in Edge)","0","0"
"vmware_esxi","Virtualization","VMWare ESXi","7u3s","3/26/2025 9:49","https://knowledge.broadcom.com/external/article?legacyId=2143832","VMWare ESXi Updates (Opens in Edge)","1","0"
"vmware_horizon","Virtualization","VMWare Horizon 8","2312.1","3/26/2025 9:49","https://customerconnect.omnissa.com/downloads/search?query=Horizon%208","Omnissa Horizon Downloads (Opens in Silo)","1","0"
"vmware_tools","Virtualization","VMWare Tools","12.5.1","3/26/2025 9:49","https://packages.vmware.com/tools/releases/latest/windows/x64/","VMWare Tools Releases (Opens in Silo)","1","0"
"vmware_vcenter","Virtualization","VMWare vCenter","7u3t","3/26/2025 9:49","https://knowledge.broadcom.com/external/article?legacyId=2143838","VMWare vCenter Server Updates (Opens in Edge)","1","0"
"vmware_vsan","Virtualization","VMWare vSAN","80:230.0.136.0-1OEM.800","4/26/2025 8:54","https://knowledge.broadcom.com/external/article?legacyId=2145116","VMWare vSAN Updates (Opens in Edge)","0","0"
"defender","Utilities","Windows Defender","","","","Defender Updates","0","0"
"terminal","Utilities","Windows Terminal","1.22.11141.0","4/25/2025 18:52","https://github.com/microsoft/terminal/releases","Windows Terminal Releases (Opens in Silo)","0","0"
"hpwja","Utilities","HP WebJetAdmin","10.5 SR8","1/4/2025","https://h30670.www3.hp.com/portal/swdepot/displayProductInfo.do?productNumber=J6052AA&lc=EN_US","HP Web JetAdmin Release (Opens in Silo)","1","0"
"winscp","Utilities","WinSCP","6.5.0","3/31/2025 13:23","https://winscp.net/eng/download.php","WinSCP Download (Opens in Silo)","0","0"
